"Timestamp","What rank did you receive after placement matches? "
"2016/06/29 11:28:10 AM EST","50"
"2016/06/29 11:28:13 AM EST","61"
"2016/06/29 11:28:30 AM EST","51"
"2016/06/29 11:28:57 AM EST","58"
"2016/06/29 11:29:32 AM EST","55"
"2016/06/29 11:29:46 AM EST","49"
"2016/06/29 11:29:54 AM EST","49"
"2016/06/29 11:29:56 AM EST","36"
"2016/06/29 11:29:58 AM EST","66"
"2016/06/29 11:30:11 AM EST","49"
"2016/06/29 11:30:35 AM EST","56"
"2016/06/29 11:30:36 AM EST","49"
"2016/06/29 11:30:43 AM EST","50"
"2016/06/29 11:30:45 AM EST","53"
"2016/06/29 11:31:03 AM EST","51"
"2016/06/29 11:31:09 AM EST","59"
"2016/06/29 11:31:17 AM EST","48"
"2016/06/29 11:31:36 AM EST","50"
"2016/06/29 11:32:26 AM EST","46"
"2016/06/29 11:33:02 AM EST","46"
"2016/06/29 11:33:20 AM EST","80"
"2016/06/29 11:33:23 AM EST","56"
"2016/06/29 11:33:53 AM EST","47"
"2016/06/29 11:33:57 AM EST","60"
"2016/06/29 11:34:10 AM EST","50"
"2016/06/29 11:34:13 AM EST","51"
"2016/06/29 11:34:35 AM EST","49"
"2016/06/29 11:35:00 AM EST","55"
"2016/06/29 11:35:58 AM EST","48"
"2016/06/29 11:36:13 AM EST","null"
"2016/06/29 11:36:17 AM EST","51"
"2016/06/29 11:36:27 AM EST","passwords"
"2016/06/29 11:36:42 AM EST","55"
"2016/06/29 11:36:45 AM EST","56"
"2016/06/29 11:36:47 AM EST","60"
"2016/06/29 11:36:58 AM EST","48"
"2016/06/29 11:38:47 AM EST","57"
"2016/06/29 11:38:53 AM EST","45"
"2016/06/29 11:39:34 AM EST","63"
"2016/06/29 11:40:39 AM EST","53"
"2016/06/29 11:40:42 AM EST","57"
"2016/06/29 11:41:02 AM EST","1"
"2016/06/29 11:41:37 AM EST","54"
"2016/06/29 11:42:06 AM EST","40"
"2016/06/29 11:42:12 AM EST","57"
"2016/06/29 11:42:51 AM EST","50"
"2016/06/29 11:43:17 AM EST","55"
"2016/06/29 11:43:36 AM EST","48"
"2016/06/29 11:43:38 AM EST","49"
"2016/06/29 11:43:46 AM EST","99"
"2016/06/29 11:43:57 AM EST","GOOD"
"2016/06/29 11:44:06 AM EST","49"
"2016/06/29 11:44:32 AM EST","50"
"2016/06/29 11:44:46 AM EST","54"
"2016/06/29 11:45:16 AM EST","59"
"2016/06/29 11:45:27 AM EST","56"
"2016/06/29 11:46:25 AM EST","48"
"2016/06/29 11:46:45 AM EST","49"
"2016/06/29 11:47:08 AM EST","49"
"2016/06/29 11:47:59 AM EST","58"
"2016/06/29 11:48:41 AM EST","47"
"2016/06/29 11:48:53 AM EST","51"
"2016/06/29 11:48:54 AM EST","50"
"2016/06/29 11:49:02 AM EST","53"
"2016/06/29 11:49:55 AM EST","38"
"2016/06/29 11:50:00 AM EST","50"
"2016/06/29 11:50:13 AM EST","37"
"2016/06/29 11:50:28 AM EST","48"
"2016/06/29 11:50:31 AM EST","58"
"2016/06/29 11:50:43 AM EST","45"
"2016/06/29 11:50:59 AM EST","40"
"2016/06/29 11:51:17 AM EST","50"
"2016/06/29 11:51:40 AM EST","50"
"2016/06/29 11:52:24 AM EST","62"
"2016/06/29 11:52:31 AM EST","56"
"2016/06/29 11:52:42 AM EST","57"
"2016/06/29 11:53:14 AM EST","51"
"2016/06/29 11:53:16 AM EST","58"
"2016/06/29 11:53:21 AM EST","48"
"2016/06/29 11:53:45 AM EST","62"
"2016/06/29 11:54:37 AM EST","54"
"2016/06/29 11:54:49 AM EST","38"
"2016/06/29 11:55:07 AM EST","52"
"2016/06/29 11:55:16 AM EST","47"
"2016/06/29 11:55:43 AM EST","52"
"2016/06/29 11:56:05 AM EST","43"
"2016/06/29 11:56:11 AM EST","51"
"2016/06/29 11:56:44 AM EST","49"
"2016/06/29 11:57:09 AM EST","56"
"2016/06/29 11:57:10 AM EST","45"
"2016/06/29 11:57:13 AM EST","46"
"2016/06/29 11:57:16 AM EST","40"
"2016/06/29 11:57:38 AM EST","51"
"2016/06/29 11:57:50 AM EST","56"
"2016/06/29 11:58:11 AM EST","51"
"2016/06/29 11:58:39 AM EST","50"
"2016/06/29 11:58:43 AM EST","44"
"2016/06/29 11:58:49 AM EST","50"
"2016/06/29 11:59:02 AM EST","56"
"2016/06/29 11:59:03 AM EST","48"
"2016/06/29 11:59:13 AM EST","53"
"2016/06/29 11:59:50 AM EST","57"
"2016/06/29 12:00:06 PM EST","38"
"2016/06/29 12:00:27 PM EST","57"
"2016/06/29 12:00:39 PM EST","40"
"2016/06/29 12:00:55 PM EST","48"
"2016/06/29 12:00:58 PM EST","48"
"2016/06/29 12:01:51 PM EST","55"
"2016/06/29 12:01:51 PM EST","47"
"2016/06/29 12:02:07 PM EST","49"
"2016/06/29 12:02:09 PM EST","48"
"2016/06/29 12:02:51 PM EST","100"
"2016/06/29 12:03:06 PM EST","100"
"2016/06/29 12:03:07 PM EST","55"
"2016/06/29 12:03:08 PM EST","47"
"2016/06/29 12:03:10 PM EST","62"
"2016/06/29 12:03:29 PM EST","61"
"2016/06/29 12:03:50 PM EST","56"
"2016/06/29 12:03:53 PM EST","57"
"2016/06/29 12:04:20 PM EST","57"
"2016/06/29 12:04:29 PM EST","42"
"2016/06/29 12:05:04 PM EST","51"
"2016/06/29 12:05:08 PM EST","58"
"2016/06/29 12:05:17 PM EST","43"
"2016/06/29 12:05:25 PM EST","45"
"2016/06/29 12:05:39 PM EST","67"
"2016/06/29 12:05:47 PM EST","51"
"2016/06/29 12:05:48 PM EST","56"
"2016/06/29 12:06:01 PM EST","47"
"2016/06/29 12:06:03 PM EST","51"
"2016/06/29 12:06:39 PM EST","57"
"2016/06/29 12:06:50 PM EST","46"
"2016/06/29 12:06:58 PM EST","33"
"2016/06/29 12:07:41 PM EST","52"
